Comment,Designator,Footprint,LCSC
LP2985-3.3,U2,SOT-23-5,C109382
Conn_02x07_Odd_Even,J3,IDC-Header_2x07_P2.54mm_Vertical,C11215
MMZ1608Y102B,FB1,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C114771
13.3k,R5,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C122547
22uF,C19,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C12891
USB_B_Micro,J1,USB_Micro-B_Amphenol_10118193-0001LF_Horizontal,C132562
1u,"C1,C14,C20,C21,C4",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C15849
220p,C2,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1603
30pF,"C15,C16",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1658
10u,L1,L_Changjiang_FNR4030S,C167879
0,"R1,R6",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C17168
4.7u,"C17,C3,C5,C7",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1779
100,"R11,R13,R14,R15,R16,R9",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25076
10k,"R10,R12,R7,R8",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744
118k,R4,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25748
SW_Push,"SW1,SW2",SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,C2800965
PRTR5V0U2X,D2,SOT-143,C2827688
LM27313XMF,U1,SOT-23-5,C341750
GRN,D4,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C434423
93LC66AT-IOT,U4,SOT-23-6,C511344
0.1u,"C10,C11,C12,C13,C18,C6,C8,C9",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C5142567
16M 20pF 3225,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,C524727
ULN2003ADR,"U5,U6",SOIC-16_4.55x10.3mm_P1.27mm,C7512
RED,"D3,D5,D6,D7",LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C84263
SS34,D1,D_SMA,C8678
STM32F411RETx,U3,LQFP-64_10x10mm_P0.5mm,C94355
