Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,153.7,-102.1375,90.0,top
C2,220p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,163.3325,-95.5,180.0,top
C3,4.7u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,165.9,-104.0,90.0,top
C4,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,118.5,-87.5375,-90.0,top
C5,4.7u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,125.2325,-86.5,180.0,top
C6,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,125.4,-90.9,0.0,bottom
C7,4.7u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,133.7,-109.9,-90.0,top
C8,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,121.7,-95.7325,90.0,top
C9,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,130.4,-111.9,180.0,top
C10,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,117.9,-109.0,0.0,bottom
C11,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,127.8,-95.7675,90.0,top
C12,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,132.4,-109.8675,90.0,top
C13,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,128.5,-102.3325,270.0,bottom
C14,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,151.8,-89.0,0.0,top
C15,30pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,138.2325,-108.1,0.0,top
C16,30pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,138.4325,-101.0,180.0,top
C17,4.7u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,122.2325,-100.4,180.0,bottom
C18,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,133.3,-86.9,180.0,top
C19,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,175.5375,-107.5,0.0,top
C20,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,172.9375,-99.2,0.0,bottom
C21,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,172.9375,-101.71,0.0,bottom
D1,SS34,D_SMA,163.7,-100.0,180.0,top
D2,PRTR5V0U2X,SOT-143,109.8,-94.6,180.0,top
D3,RED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,147.4,-86.6,-90.0,top
D4,GRN,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,144.0,-86.6,-90.0,top
D5,RED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,115.425,-98.8,180.0,top
D6,RED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,115.325,-101.1,180.0,top
D7,RED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,115.525,-103.6,180.0,top
FB1,MMZ1608Y102B,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,135.3,-100.0375,-90.0,top
FID1,Fiducial,Fiducial_1mm_Mask3mm,98.0,-87.5,0.0,top
FID2,Fiducial,Fiducial_1mm_Mask3mm,201.8,-111.4,0.0,top
FID3,Fiducial,Fiducial_1mm_Mask3mm,98.0,-87.5,0.0,bottom
FID4,Fiducial,Fiducial_1mm_Mask3mm,201.8,-111.4,0.0,bottom
J1,USB_B_Micro,USB_Micro-B_Amphenol_10118193-0001LF_Horizontal,109.5,-87.2,180.0,top
J3,Conn_02x07_Odd_Even,IDC-Header_2x07_P2.54mm_Vertical,187.13,-99.68,0.0,top
L1,10u,L_Changjiang_FNR4030S,157.5,-104.6,0.0,top
R1,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,157.4975,-108.9,0.0,top
R2,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,150.8,-100.2,180.0,top
R3,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,153.1,-98.5,-90.0,top
R4,118k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,163.3025,-97.4,0.0,top
R5,13.3k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,158.0025,-96.6,0.0,top
R6,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,125.6025,-89.0,0.0,top
R7,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,117.3025,-91.6,0.0,top
R8,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,151.8025,-87.0,0.0,top
R9,100,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,147.4,-89.9675,90.0,top
R10,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,126.3,-107.8,0.0,bottom
R11,100,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,133.7,-105.1,180.0,top
R12,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,123.4,-95.7025,-90.0,top
R13,100,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,144.0,-89.9975,90.0,top
R14,100,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,115.5,-98.9,0.0,bottom
R15,100,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,115.3975,-101.3,0.0,bottom
R16,100,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,115.4975,-103.6,0.0,bottom
SW1,SW_Push,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,158.825,-87.1,0.0,top
SW2,SW_Push,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,172.6,-87.1,0.0,top
U1,LM27313XMF,SOT-23-5,157.455,-99.2,180.0,top
U2,LP2985-3.3,SOT-23-5,122.1625,-89.95,0.0,top
U3,STM32F411RETx,LQFP-64_10x10mm_P0.5mm,125.1,-104.1,180.0,top
U4,93LC66AT-IOT,SOT-23-6,129.8625,-87.95,0.0,top
U5,ULN2003ADR,SOIC-16_4.55x10.3mm_P1.27mm,166.25,-107.235,180.0,bottom
